id;qid1;qid2;doc1;doc2;is_duplicate
43;87;88;"""They have none of them much to recommend them,"" replied he; ""they are all silly and ignorant like other girls; but Lizzy has something more of quickness than her sisters.""";"""None of them have much to boast about,"" he replied, ""they are all as foolish and uneducated as other girls; but Lizzy is a bit sharper than her sisters.""";
44;89;90;"""Mr. Bennet, how can you abuse your own children in such a way?";"""Mr. Bennet, how can you speak so harshly about your own children?""";
45;91;92;You take delight in vexing me.;"""You enjoy upsetting me.""";
46;93;94;"You have no compassion on my poor nerves.""";"""You have no sympathy for my fragile nerves.""";
47;95;96;"""You mistake me, my dear.";"""You misunderstand me, my dear.""";
48;97;98;I have a high respect for your nerves.;"""I hold your nerves in high regard.""";
49;99;100;They are my old friends.;"""They have been my longtime companions.""";
50;101;102;"I have heard you mention them with consideration these twenty years at least.""";"""I’ve heard you speak about them thoughtfully for at least the past twenty years.""";
51;103;104;"""Ah!";"""Ah!";
52;105;106;"you do not know what I suffer.""";"""You have no idea what I go through.""";
53;107;108;"""But I hope you will get over it, and live to see many young men of four thousand a year come into the neighbourhood.""";"""But I trust you’ll recover and live to witness many wealthy young men with four thousand a year moving into the area.""";
54;109;110;"""It will be no use to us, if twenty such should come since you will not visit them.""";"""It won’t benefit us at all if twenty such men arrive, as you refuse to visit them.""";
55;111;112;"""Depend upon it, my dear, that when there are twenty, I will visit them all.""";"""Rest assured, my dear, if there are twenty of them, I will visit every single one.""";
56;113;114;Mr. Bennet was so odd a mixture of quick parts, sarcastic humour, reserve, and caprice, that the experience of three and twenty years had been insufficient to make his wife understand his character.;Mr. Bennet was such a peculiar blend of sharp wit, sarcastic humor, reticence, and unpredictability that even after twenty-three years, his wife still couldn’t fully grasp his nature.;
57;115;116;_Her_ mind was less difficult to develope.;Her personality was much easier to understand.;
58;117;118;She was a woman of mean understanding, little information, and uncertain temper.;She was a woman of limited intelligence, scant knowledge, and a changeable disposition.;
59;119;120;When she was discontented she fancied herself nervous.;When she felt unhappy, she imagined herself to be nervous.;
60;121;122;"The business of her life was to get her daughters married; its solace was visiting and news.";Her life’s mission was marrying off her daughters, and her comfort came from social visits and gossip.;
